code,s_category,q_content,
E069_41,Confidence,Banks,
E069_14,Confidence,The Environmental Protection Movement,
E069_15,Confidence,The Women's Movement,
E069_40,Confidence,Charitable or humanitarian organizations,
E035,Economic Issue Position,Income equality,
E036,Economic Issue Position,Private vs state ownership of business,
E037,Economic Issue Position,Government responsibility,
E039,Economic Issue Position,Competition good or harmful,
E040,Economic Issue Position,Hard work brings success,
B008,Environment or Growth,Protecting environment vs. Economic growth,
E268,Scale corruption in [my country],pay a bribe give a gift do a favor to other to get things,
G052,Impact of immigrants,Evaluate the impact of immigrants on the development of [your country],
G058,Effects of immigrants on the development of [your country],Help poor people establish new lives,
H001,Feel Secure,Secure in neighborhood,
H006_01,Worries,Losing my job or not finding a job,
H006_02,Worries,Not being able to give one's children a good education,
H008_07,Freedom and Equality,Which more important,
H008_08,Freedom and securiy,Which more important,
F202,Science and Religion,Whenever science and religion conflict religion is always right,
F028,Religious Service Attendance,How often do you attend religious services,
F028B,Pray Frequency,How often to you pray,
F206,Degree of agreement,Nowadays one often has trouble deciding which moral rules are the right ones to follow,
F114A,Justifiable,Claiming government benefits to which you are not entitled,
F114B,Justifiable,Stealing property,
F116,Justifiable,Cheating on taxes,
F117,Justifiable,Someone accepting a bribe,
F120,Justifiable,Abortion,
F121,Justifiable,Divorce,
F123,Justifiable,Suicide,
F122,Justifiable,Euthanasia,
F114C,Justifiable,Parents beating children,
F114D,Justifiable,Violence against other people,
F144_02,Justifiable,Death penalty,
E023,Interest in politics,Interest in politics,
A062,How often discusses political matters with friends,How often discusses political matters with friends,
E248B,Information source,Daily newspaper (B),
E258B,Information source,TV news (B),
E259B,Information source,Radio news (B),
E260B,Information source,Mobile phone (B),
E261B,Information source,Email (B),
E262B,Information source,Internet (B),
E254B,Information source,Talk with friends or colleagues (B),
E025,Political action,Signing a petition,
E026,Political action,joining in boycotts,
E027,Political action,attending lawful/peaceful demonstrations,
E028,Political action,joining unofficial strikes,
E286,Social activism,Donating to a group or campaign,
E287,Social activism,Contacting a government official,
E289,Social activism,Encouraging others to vote,
E114,Political system,Having a strong leader,
E115,Political system,Having experts make decisions,
E117,Political system,Having a democratic political system,
E117B,Political system,Having a system governed by religious law in which there are no political parties or elections,
E224,Democracy,Governments tax the rich and subsidize the poor.,
E225,Democracy,Religious authorities interpret the laws.,
E226,Democracy,People choose their leaders in free elections.,
E227,Democracy,People receive state aid for unemployment.,
E229,Democracy,Civil rights protect people's liberty against oppression.,
E233A,Democracy,The state makes people's incomes equal,
E233B,Democracy,People obey their rulers,
E233,Democracy,Women have the same rights as men.,
E235,Importance of democracy,Importance of democracy,
E236,Democraticness in own country,Democraticness in own country,
E124,Respect for Human Rights,Respect for individual human rights nowadays,
G062,How close you feel,Continent; e.g. Europe Asia etc.,
G063,How close you feel,World,
E003_1,Aims of respondent,First choice - Protecting freedom of speech,
E003_2,Aims of respondent,First choice - Fighting rising prices,
E003_3,Aims of respondent,First choice - Giving people more say in important government decisions,
E003_4,Aims of respondent,First choice - Maintaining order in the nation,
E004_1,Aims of respondent,Second choice - Protecting freedom of speech,
E004_2,Aims of respondent,Second choice - Fighting rising prices,
E004_3,Aims of respondent,Second choice - Giving people more say in important government decisions,
E004_4,Aims of respondent,Second choice - Maintaining order in the nation,
